"1","Rohit Sharma","Hitman","https://opt.toiimg.com/recuperator/img/toi/m-69257289/69257289.jpg","1",\N
"2","Virat Kohli","King","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316605.3.png","1",\N
"3","Ruturaj Gaikwad","Batter (c). Right hand Bat. Right arm Offbreak","","1","11813"
"4","C Andre Siddarth","Batter. Right hand Bat. ","","1","1427488"
"5","Vansh Bedi","Wicketkeeper Batter. Right hand Bat. ","","1","1429626"
"6","Devon Conway","Wicketkeeper Batter. Left hand Bat. Right arm Medium","","1","9838"
"7","MS Dhoni","Wicketkeeper Batter. Right hand Bat. Right arm Medium","","1","265"
"8","Shaik Rasheed","Batter. Right hand Bat. Legbreak","","1","22571"
"9","Rahul Tripathi","Top order Batter. Right hand Bat. Right arm Medium","","1","9012"
"10","Ravichandran Ashwin","Bowling Allrounder. Right hand Bat. Right arm Offbreak","","1","1593"
"11","Sam Curran","Allrounder. Left hand Bat. Left arm Medium fast","","1","10420"
"12","Shivam Dube","Allrounder. Left hand Bat. Right arm Medium","","1","11195"
"13","Ramakrishna Ghosh","Bowling Allrounder. Right hand Bat. Right arm Medium fast","","1","32835"
"14","Shreyas Gopal","Allrounder. Right hand Bat. Legbreak","","1","9746"
"15","Deepak Hooda","Allrounder. Right hand Bat. Right arm Offbreak","","1","9427"
"16","Ravindra Jadeja","Allrounder. Left hand Bat. Slow Left arm Orthodox","","1","587"
"17","Anshul Kamboj","Allrounder. Right hand Bat. Right arm Medium","","1","14598"
"18","Jamie Overton","Bowling Allrounder. Right hand Bat. Right arm Fast","","1","8512"
"19","Rachin Ravindra","Batting Allrounder. Left hand Bat. Slow Left arm Orthodox","","1","11177"
"20","Vijay Shankar","Allrounder. Right hand Bat. Right arm Medium","","1","8204"
"21","Khaleel Ahmed","Bowler. Right hand Bat. Left arm Fast medium","","1","10952"
"22","Nathan Ellis","Bowler. Right hand Bat. Right arm Fast medium","","1","15480"
"23","Gurjapneet Singh","Bowler. Right hand Bat. Left arm Medium fast","","1","19807"
"24","Mukesh Choudhary","Bowler. Left hand Bat. Left arm Medium","","1","13184"
"25","Kamlesh Nagarkoti","Bowler. Right hand Bat. Right arm Fast","","1","12092"
"26","Noor Ahmad","Bowler. Right hand Bat. Left arm Wrist spin","","1","15452"
"27","Matheesha Pathirana","Bowler. Right hand Bat. Right arm Fast","","1","16458"
"28","Abishek Porel","Wicketkeeper Batter. Left hand Bat. ","","1","24326"
"29","Faf du Plessis","Middle order Batter. Right hand Bat. Legbreak","","1","7825"
"30","Jake Fraser-McGurk","Batter. Right hand Bat. Legbreak Googly","","1","14501"
"31","Karun Nair","Top order Batter. Right hand Bat. Right arm Offbreak","","1","8257"
"32","KL Rahul","Wicketkeeper Batter. Right hand Bat. ","","1","8733"
"33","Sameer Rizvi","Batter. Right hand Bat. Right arm Offbreak","","1","14700"
"34","Tristan Stubbs","Batter. Right hand Bat. Right arm Offbreak","","1","19243"
"35","Harry Brook","Withdrawn Batter. Right hand Bat. Right arm Medium","","1","12201"
"36","Axar Patel","Allrounder (c). Left hand Bat. Slow Left arm Orthodox","","1","8808"
"37","Donovan Ferreira","Allrounder. Right hand Bat. Right arm Offbreak","","1","14798"
"38","Ajay Mandal","Allrounder. Left hand Bat. Slow Left arm Orthodox","","1","11777"
"39","Manvanth Kumar","Allrounder. Left hand Bat. Right arm Fast medium","","1","47742"
"40","Ashutosh Sharma","Batting Allrounder. Right hand Bat. ","","1","13497"
"41","Madhav Tiwari","Allrounder. Right hand Bat. Right arm Medium fast","","1","1447321"
"42","Dushmantha Chameera","Bowler. Right hand Bat. Right arm Fast","","1","8393"
"43","Kuldeep Yadav","Bowler. Left hand Bat. Left arm Wrist spin","","1","8292"
"44","Mukesh Kumar","Bowler. Right hand Bat. Right arm Medium","","1","10754"
"45","T Natarajan","Bowler. Left hand Bat. Left arm Medium","","1","10225"
"46","Vipraj Nigam","Bowler. Right hand Bat. Legbreak","","1","1431811"
"47","Mohit Sharma","Bowler. Right hand Bat. Right arm Medium","","1","8181"
"48","Mitchell Starc","Bowler. Left hand Bat. Left arm Fast","","1","7710"
"49","Tripurana Vijay","Bowler. Right hand Bat. Right arm Offbreak","","1","22386"
"50","Shubhman Gill","Opening Batter. Right hand Bat. Right arm Offbreak","","1","11808"
"51","Anuj Rawat","Wicketkeeper Batter. Left hand Bat. ","","1","13135"
"52","Jos Buttler","Wicketkeeper Batter. Right hand Bat. ","","1","2258"
"53","Kumar Kushagra","Wicketkeeper Batter. Right hand Bat. ","","1","15779"
"54","Sherfane Rutherford","Middle order Batter. Left hand Bat. Right arm Fast medium","","1","13748"
"55","Sai Sudharsan","Top order Batter. Left hand Bat. Legbreak","","1","13866"
"56","M Shahrukh Khan","Batter. Right hand Bat. Right arm Offbreak","","1","10226"
"57","Karim Janat","Bowling Allrounder. Right hand Bat. Right arm Medium","","1","11077"
"58","Mahipal Lomror","Allrounder. Left hand Bat. Slow Left arm Orthodox","","1","10954"
"59","Glenn Phillips","Allrounder. Right hand Bat. Right arm Offbreak","","1","10693"
"60","Rashid Khan","Bowling Allrounder. Right hand Bat. Legbreak Googly","","1","10738"
"61","Nishant Sindhu","Allrounder. Left hand Bat. Slow Left arm Orthodox","","1","22576"
"62","Manav Suthar","Bowling Allrounder. Left hand Bat. Slow Left arm Orthodox","","1","14596"
"63","Rahul Tewatia","Bowling Allrounder. Left hand Bat. Legbreak","","1","9693"
"64","Washington Sundar","Bowling Allrounder. Left hand Bat. Right arm Offbreak","","1","10945"
"65","Arshad Khan","Bowler. Left hand Bat. Left arm Medium","","1","18637"
"66","Gerald Coetzee","Bowler. Right hand Bat. Right arm Fast","","1","13320"
"67","Gurnoor Brar","Bowler. Left hand Bat. Right arm Fast","","1","22141"
"68","Kulwant Khejroliya","Bowler. Left hand Bat. Left arm Medium fast","","1","12643"
"69","Mohammed Siraj","Bowler. Right hand Bat. Right arm Fast","","1","10808"
"70","Prasidh Krishna","Bowler. Right hand Bat. Right arm Fast medium","","1","10551"
"71","Kagiso Rabada","Bowler. Left hand Bat. Right arm Fast","","1","9585"
"72","Sai Kishore","Bowler. Left hand Bat. Slow Left arm Orthodox","","1","11595"
"73","Ishant Sharma","Bowler. Right hand Bat. Right arm Fast medium","","1","702"
"74","Jayant Yadav","Bowler. Right hand Bat. Right arm Offbreak","","1","8182"
"75","Ajinkya Rahane","Top order Batter. Right hand Bat. Right arm Medium","","1","1447"
"76","Quinton de Kock","Wicketkeeper Batter. Left hand Bat. ","","1","8520"
"77","Manish Pandey","Top order Batter. Right hand Bat. Right arm Medium","","1","1836"
"78","Rovman Powell","Middle order Batter. Right hand Bat. Right arm Medium fast","","1","11445"
"79","Angkrish Raghuvanshi","Top order Batter. Right hand Bat. Slow Left arm Orthodox","","1","22566"
"80","Rahmanullah Gurbaz","Wicketkeeper Batter. Right hand Bat. Right arm Medium","","1","13213"
"81","Ramandeep Singh","Middle order Batter. Right hand Bat. Right arm Medium","","1","12337"
"82","Rinku Singh","Middle order Batter. Left hand Bat. Right arm Offbreak","","1","10896"
"83","Luvnith Sisodia","Wicketkeeper Batter. Left hand Bat. Left arm Medium","","1","13972"
"84","Moeen Ali","Batting Allrounder. Left hand Bat. Right arm Offbreak","","1","6692"
"85","Venkatesh Iyer","Allrounder. Left hand Bat. Right arm Medium","","1","10917"
"86","Sunil Narine","Bowling Allrounder. Left hand Bat. Right arm Offbreak","","1","2276"
"87","Anukul Roy","Allrounder. Left hand Bat. Slow Left arm Orthodox","","1","12344"
"88","Andre Russell","Allrounder. Right hand Bat. Right arm Fast","","1","7736"
"89","Vaibhav Arora","Bowler. Right hand Bat. Right arm Fast medium","","1","15861"
"90","Harshit Rana","Bowler. Right hand Bat. Right arm Fast","","1","24729"
"91","Spencer Johnson","Bowler. Left hand Bat. Left arm Fast","","1","13143"
"92","Mayank Markande","Bowler. Right hand Bat. Legbreak","","1","12627"
"93","Anrich Nortje","Bowler. Right hand Bat. Right arm Fast","","1","11427"
"94","Chetan Sakariya","Bowler. Left hand Bat. Left arm Medium fast","","1","13494"
"95","Varun Chakravarthy","Bowler. Right hand Bat. Legbreak Googly","","1","12926"
"96","Rishabh Pant","Wicketkeeper Batter. Left hand Bat. ","","1","10744"
"97","Abdul Samad","Batter. Right hand Bat. Legbreak","","1","14628"
"98","Ayush Badoni","Batter. Right hand Bat. Right arm Offbreak","","1","13907"
"99","Matthew Breetzke","Batter. Right hand Bat. ","","1","13089"
"100","Aryan Juyal","Wicketkeeper Batter. Right hand Bat. ","","1","13388"
"101","David Miller","Middle order Batter. Left hand Bat. Right arm Offbreak","","1","6349"
"102","Nicholas Pooran","Wicketkeeper Batter. Left hand Bat. Right arm Offbreak","","1","9406"
"103","Yuvraj Chaudhary","Batting Allrounder. Left hand Bat. Slow Left arm Orthodox","","1","14693"
"104","Rajvardhan Hangargekar","Bowling Allrounder. Right hand Bat. Right arm Fast medium","","1","14599"
"105","Arshin Kulkarni","Allrounder. Right hand Bat. Right arm Medium","","1","51378"
"106","Aiden Markram","Allrounder. Right hand Bat. Right arm Offbreak","","1","9582"
"107","Mitchell Marsh","Allrounder. Right hand Bat. Right arm Medium","","1","6250"
"108","Shahbaz Ahmed","Allrounder. Left hand Bat. Slow Left arm Orthodox","","1","14606"
"109","Akash Deep","Bowler. Right hand Bat. Right arm Fast medium","","1","14726"
"110","Akash Singh","Bowler. Right hand Bat. Left arm Medium fast","","1","14696"
"111","Avesh Khan","Bowler. Right hand Bat. Right arm Fast medium","","1","9781"
"112","Shamar Joseph","Bowler. Left hand Bat. Right arm Fast","","1","50458"
"113","Mohsin Khan","Bowler. Left hand Bat. Left arm Medium fast","","1","13534"
"114","Prince Yadav","Bowler. Right hand Bat. Right arm Fast","","1","54735"
"115","Digvesh Rathi","Bowler. Right hand Bat. Legbreak","","1","1448289"
"116","Ravi Bishnoi","Bowler. Right hand Bat. Legbreak Googly","","1","14659"
"117","Manimaran Siddharth","Bowler. Right hand Bat. Slow Left arm Orthodox","","1","12930"
"118","Mayank Yadav","Bowler. Right hand Bat. Right arm Fast","","1","22401"
"119","Bevon Jacobs","Middle order Batter. Right hand Bat. Right arm Medium","","1","52428"
"120","Robin Minz","Wicketkeeper. Left hand Bat. Slow Left arm Orthodox","","1","36454"
"121","Naman Dhir","Top order Batter. Right hand Bat. Right arm Offbreak","","1","36139"
"122","Ryan Rickelton","Wicketkeeper Batter. Left hand Bat. ","","1","13070"
"123","Rohit Sharma","Top order Batter. Right hand Bat. Right arm Offbreak","","1","576"
"124","Krishnan Shrijith","Wicketkeeper Batter. Left hand Bat. Right arm Offbreak","","1","13082"
"125","Suryakumar Yadav","Batter. Right hand Bat. Right arm Offbreak","","1","7915"
"126","Hardik Pandya","Allrounder (c). Right hand Bat. Right arm Medium fast","","1","9647"
"127","Raj Bawa","Allrounder. Left hand Bat. Right arm Medium fast","","1","22601"
"128","Corbin Bosch","Allrounder. Right hand Bat. Right arm Fast medium","","1","9576"
"129","Will Jacks","Batting Allrounder. Right hand Bat. Right arm Offbreak","","1","12258"
"130","Mitchell Santner","Bowling Allrounder. Left hand Bat. Slow Left arm Orthodox","","1","10100"
"131","Tilak Varma","Batting Allrounder. Left hand Bat. Right arm Offbreak","","1","14504"
"132","Ashwani Kumar","Bowler. Left hand Bat. Left arm Medium","","1","11684"
"133","Trent Boult","Bowler. Right hand Bat. Left arm Fast medium","","1","8117"
"134","Jasprit Bumrah","Bowler. Right hand Bat. Right arm Fast","","1","9311"
"135","Deepak Chahar","Bowler. Right hand Bat. Right arm Medium","","1","7836"
"136","Mujeeb Ur Rahman","Bowler. Right hand Bat. Right arm Offbreak","","1","12071"
"137","Vignesh Puthur","Bowler. Right hand Bat. Slow Left arm Orthodox","","1","1447337"
"138","Satyanarayana Raju","Bowler. Right hand Bat. Right arm Medium fast","","1","1431171"
"139","Karn Sharma","Bowler. Left hand Bat. Legbreak Googly","","1","1844"
"140","Arjun Tendulkar","Bowler. Left hand Bat. Left arm Medium fast","","1","13747"
"141","Reece Topley","Bowler. Right hand Bat. Left arm Fast medium","","1","8349"
"142","Shreyas Iyer","Top order Batter. Right hand Bat. Right arm Offbreak","","1","9428"
"143","Priyansh Arya","Opening Batter. Left hand Bat. Right arm Offbreak","","1","14689"
"144","Pyla Avinash","Batter. Right hand Bat. Right arm Medium fast","","1","32525"
"145","Harnoor Singh","Batter. Left hand Bat. Legbreak","","1","22561"
"146","Josh Inglis","Wicketkeeper Batter. Right hand Bat. ","","1","10637"
"147","Prabhsimran Singh","Wicketkeeper Batter. Right hand Bat. ","","1","14254"
"148","Vishnu Vinod","Wicketkeeper Batter. Right hand Bat. ","","1","11893"
"149","Nehal Wadhera","Top order Batter. Left hand Bat. Legbreak","","1","13915"
"150","Azmatullah Omarzai","Allrounder. Right hand Bat. Right arm Medium fast","","1","13214"
"151","Aaron Hardie","Allrounder. Right hand Bat. Right arm Medium fast","","1","13170"
"152","Marco Jansen","Bowling Allrounder. Right hand Bat. Left arm Fast","","1","14565"
"153","Glenn Maxwell","Batting Allrounder. Right hand Bat. Right arm Offbreak","","1","7662"
"154","Musheer Khan","Allrounder. Right hand Bat. Slow Left arm Orthodox","","1","27424"
"155","Shashank Singh","Batting Allrounder. Right hand Bat. Right arm Medium","","1","10919"
"156","Marcus Stoinis","Batting Allrounder. Right hand Bat. Right arm Medium","","1","8989"
"157","Suryansh Shedge","Batting Allrounder. Right hand Bat. ","","1","14922"
"158","Arshdeep Singh","Bowler. Left hand Bat. Left arm Medium fast","","1","13217"
"159","Xavier Bartlett","Bowler. Right hand Bat. Right arm Fast medium","","1","11689"
"160","Yuzvendra Chahal","Bowler. Right hand Bat. Legbreak Googly","","1","7910"
"161","Praveen Dubey","Bowler. Right hand Bat. Legbreak Googly","","1","10484"
"162","Lockie Ferguson","Bowler. Right hand Bat. Right arm Fast","","1","10692"
"163","Harpreet Brar","Bowler. Left hand Bat. Slow Left arm Orthodox","","1","14452"
"164","Kuldeep Sen","Bowler. Right hand Bat. Right arm Fast","","1","14336"
"165","Vijaykumar Vyshak","Bowler. Right hand Bat. Right arm Medium","","1","10486"
"166","Yash Thakur","Bowler. Right hand Bat. Right arm Fast medium","","1","12096"
"167","Sanju Samson","Wicketkeeper Batter (c). Right hand Bat. ","","1","8271"
"168","Shubham Dubey","Middle order Batter. Left hand Bat. Right arm Offbreak","","1","19328"
"169","Shimron Hetmyer","Middle order Batter. Left hand Bat. ","","1","9789"
"170","Yashasvi Jaiswal","Opening Batter. Left hand Bat. Legbreak","","1","13940"
"171","Dhruv Jurel","Wicketkeeper Batter. Right hand Bat. ","","1","14691"
"172","Riyan Parag","Top order Batter. Right hand Bat. Right arm Offbreak","","1","12305"
"173","Nitish Rana","Middle order Batter. Left hand Bat. Right arm Offbreak","","1","9204"
"174","Kunal Singh Rathore","Wicketkeeper Batter. Left hand Bat. ","","1","32854"
"175","Vaibhav Suryavanshi","Batter. Left hand Bat. Slow Left arm Orthodox","","1","51791"
"176","Wanindu Hasaranga","Allrounder. Right hand Bat. Legbreak","","1","10926"
"177","Jofra Archer","Bowler. Right hand Bat. Right arm Fast","","1","11540"
"178","Ashok Sharma","Bowler. Right hand Bat. Right arm Medium","","1","24261"
"179","Tushar Deshpande","Bowler. Left hand Bat. Right arm Medium","","1","11307"
"180","Fazalhaq Farooqi","Bowler. Right hand Bat. Left arm Fast medium","","1","14282"
"181","Kumar Kartikeya","Bowler. Right hand Bat. Slow Left arm Orthodox","","1","14190"
"182","Akash Madhwal","Bowler. Right hand Bat. Right arm Medium fast","","1","15727"
"183","Kwena Maphaka","Bowler. Left hand Bat. Left arm Fast","","1","23346"
"184","Sandeep Sharma","Bowler. Right hand Bat. Right arm Medium","","1","8356"
"185","Maheesh Theekshana","Bowler. Right hand Bat. Right arm Offbreak","","1","18504"
"186","Yudhvir Singh","Bowler. Right hand Bat. Right arm Medium fast","","1","15749"
"187","Rajat Patidar","Top order Batter. Right hand Bat. Right arm Offbreak","","1","10636"
"188","Swastik Chikara","Batter. Right hand Bat. Right arm Offbreak","","1","52418"
"189","Tim David","Middle order Batter. Right hand Bat. Right arm Offbreak","","1","13169"
"190","Virat Kohli","Top order Batter. Right hand Bat. Right arm Medium","","1","1413"
"191","Devdutt Padikkal","Top order Batter. Left hand Bat. Right arm Offbreak","","1","13088"
"192","Phil Salt","Wicketkeeper Batter. Right hand Bat. Right arm Offbreak","","1","10479"
"193","Jitesh Sharma","Wicketkeeper Batter. Right hand Bat. ","","1","10214"
"194","Jacob Bethell","Batting Allrounder. Left hand Bat. Slow Left arm Orthodox","","1","19636"
"195","Manoj Bhandage","Allrounder. Left hand Bat. Right arm Medium fast","","1","13962"
"196","Liam Livingstone","Batting Allrounder. Right hand Bat. Right arm Offbreak","","1","10045"
"197","Mohit Rathee","Allrounder. Right hand Bat. Legbreak","","1","36524"
"198","Krunal Pandya","Allrounder. Left hand Bat. Slow Left arm Orthodox","","1","11311"
"199","Romario Shepherd","Bowling Allrounder. Right hand Bat. Right arm Fast medium","","1","13646"
"200","Abhinandan Singh","Bowler. Right hand Bat. Right arm Medium fast","","1","1447073"
"201","Josh Hazlewood","Bowler. Left hand Bat. Right arm Fast medium","","1","6258"
"202","Bhuvneshwar Kumar","Bowler. Right hand Bat. Right arm Medium","","1","1726"
"203","Lungi Ngidi","Bowler. Right hand Bat. Right arm Fast medium","","1","9603"
